,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
0,2015-03-01 01:00:00,30.54,32.38,9116.0
1,2015-03-01 02:00:00,27.95,32.4,8979.0
2,2015-03-01 03:00:00,25.96,32.41,8928.0
3,2015-03-01 04:00:00,28.12,32.43,8924.0
4,2015-03-01 05:00:00,28.78,32.44,8908.0
5,2015-03-01 06:00:00,24.49,32.45,8983.0
6,2015-03-01 07:00:00,24.52,32.44,9134.0
7,2015-03-01 08:00:00,24.22,32.44,9188.0
8,2015-03-01 09:00:00,25.48,32.43,9303.0
9,2015-03-01 10:00:00,28.27,32.42,9418.0
10,2015-03-01 11:00:00,28.84,32.4,9442.0
11,2015-03-01 12:00:00,37.98,32.41,9493.0
12,2015-03-01 13:00:00,36.06,32.41,9494.0
13,2015-03-01 14:00:00,22.62,32.4,9456.0
14,2015-03-01 15:00:00,21.38,32.38,9409.0
15,2015-03-01 16:00:00,21.49,32.37,9429.0
16,2015-03-01 17:00:00,21.33,32.36,9587.0
17,2015-03-01 18:00:00,21.6,32.35,9815.0
18,2015-03-01 19:00:00,21.51,32.34,10091.0
19,2015-03-01 20:00:00,21.57,32.35,10146.0
20,2015-03-01 21:00:00,21.64,32.35,10042.0
21,2015-03-01 22:00:00,21.71,32.35,9851.0
22,2015-03-01 23:00:00,21.25,32.35,9492.0
23,2015-03-01 00:00:00,20.57,32.36,9157.0
24,2015-03-02 01:00:00,16.14,32.35,8949.0
25,2015-03-02 02:00:00,12.98,32.34,8864.0
26,2015-03-02 03:00:00,12.29,32.33,8827.0
27,2015-03-02 04:00:00,13.28,32.32,8846.0
28,2015-03-02 05:00:00,17.8,32.31,8935.0
29,2015-03-02 06:00:00,20.07,32.32,9213.0
30,2015-03-02 07:00:00,20.33,32.33,9708.0
31,2015-03-02 08:00:00,20.52,32.34,10192.0
32,2015-03-02 09:00:00,20.4,32.34,10269.0
33,2015-03-02 10:00:00,19.95,32.33,10360.0
34,2015-03-02 11:00:00,19.98,32.32,10403.0
35,2015-03-02 12:00:00,20.47,32.31,10436.0
36,2015-03-02 13:00:00,20.61,32.3,10430.0
37,2015-03-02 14:00:00,20.8,32.29,10441.0
38,2015-03-02 15:00:00,21.31,32.27,10425.0
39,2015-03-02 16:00:00,21.46,32.24,10469.0
40,2015-03-02 17:00:00,20.93,32.23,10545.0
41,2015-03-02 18:00:00,20.26,32.21,10579.0
42,2015-03-02 19:00:00,20.58,32.19,10689.0
43,2015-03-02 20:00:00,23.99,32.19,10743.0
44,2015-03-02 21:00:00,26.9,32.18,10640.0
45,2015-03-02 22:00:00,25.81,32.18,10382.0
46,2015-03-02 23:00:00,22.17,32.17,10028.0
47,2015-03-02 00:00:00,21.37,32.16,9684.0
48,2015-03-03 01:00:00,20.68,32.14,9451.0
49,2015-03-03 02:00:00,19.93,32.13,9348.0
50,2015-03-03 03:00:00,20.54,32.12,9235.0
51,2015-03-03 04:00:00,19.82,32.11,9228.0
52,2015-03-03 05:00:00,20.39,32.11,9279.0
53,2015-03-03 06:00:00,21.53,32.11,9503.0
54,2015-03-03 07:00:00,26.34,32.12,9975.0
55,2015-03-03 08:00:00,32.1,32.14,10318.0
56,2015-03-03 09:00:00,27.67,32.16,10373.0
57,2015-03-03 10:00:00,28.93,32.17,10368.0
58,2015-03-03 11:00:00,26.13,32.17,10400.0
59,2015-03-03 12:00:00,23.08,32.17,10374.0
60,2015-03-03 13:00:00,21.98,32.16,10321.0
61,2015-03-03 14:00:00,23.0,32.16,10303.0
62,2015-03-03 15:00:00,22.53,32.16,10240.0
63,2015-03-03 16:00:00,21.41,32.15,10209.0
64,2015-03-03 17:00:00,22.15,32.14,10328.0
65,2015-03-03 18:00:00,22.84,32.13,10391.0
66,2015-03-03 19:00:00,23.73,32.11,10576.0
67,2015-03-03 20:00:00,28.02,32.11,10667.0
68,2015-03-03 21:00:00,29.1,32.11,10554.0
69,2015-03-03 22:00:00,31.32,32.1,10339.0
70,2015-03-03 23:00:00,25.26,32.09,9942.0
71,2015-03-03 00:00:00,22.43,32.08,9603.0
72,2015-03-04 01:00:00,23.35,32.07,9408.0
73,2015-03-04 02:00:00,23.04,32.07,9309.0
74,2015-03-04 03:00:00,22.58,32.06,9277.0
75,2015-03-04 04:00:00,22.5,32.05,9244.0
76,2015-03-04 05:00:00,23.66,32.04,9285.0
77,2015-03-04 06:00:00,27.76,32.03,9510.0
78,2015-03-04 07:00:00,27.97,32.02,9963.0
79,2015-03-04 08:00:00,24.05,31.98,10318.0
80,2015-03-04 09:00:00,22.98,31.94,10393.0
81,2015-03-04 10:00:00,22.76,31.89,10400.0
82,2015-03-04 11:00:00,21.76,31.82,10395.0
83,2015-03-04 12:00:00,20.1,31.72,10349.0
84,2015-03-04 13:00:00,16.52,31.65,10217.0
85,2015-03-04 14:00:00,15.33,31.61,10175.0
86,2015-03-04 15:00:00,15.52,31.59,10150.0
87,2015-03-04 16:00:00,14.1,31.57,10127.0
88,2015-03-04 17:00:00,19.18,31.56,10155.0
89,2015-03-04 18:00:00,20.25,31.55,10256.0
90,2015-03-04 19:00:00,19.81,31.54,10424.0
91,2015-03-04 20:00:00,19.81,31.53,10567.0
92,2015-03-04 21:00:00,17.27,31.51,10459.0
93,2015-03-04 22:00:00,15.73,31.5,10222.0
94,2015-03-04 23:00:00,15.28,31.48,9821.0
95,2015-03-04 00:00:00,13.51,31.45,9453.0
96,2015-03-05 01:00:00,14.1,31.43,9214.0
97,2015-03-05 02:00:00,14.21,31.41,9105.0
98,2015-03-05 03:00:00,14.15,31.38,9053.0
99,2015-03-05 04:00:00,13.95,31.35,9019.0
100,2015-03-05 05:00:00,13.91,31.31,9071.0
101,2015-03-05 06:00:00,14.11,31.29,9277.0
102,2015-03-05 07:00:00,17.1,31.26,9670.0
103,2015-03-05 08:00:00,20.02,31.24,10037.0
104,2015-03-05 09:00:00,20.01,31.21,10079.0
105,2015-03-05 10:00:00,19.65,31.15,10074.0
106,2015-03-05 11:00:00,15.5,31.05,10063.0
107,2015-03-05 12:00:00,16.64,30.97,10048.0
108,2015-03-05 13:00:00,16.42,30.92,9968.0
109,2015-03-05 14:00:00,15.5,30.9,9943.0
110,2015-03-05 15:00:00,16.0,30.89,9935.0
111,2015-03-05 16:00:00,18.14,30.88,9872.0
112,2015-03-05 17:00:00,19.51,30.87,9934.0
113,2015-03-05 18:00:00,19.17,30.86,10016.0
114,2015-03-05 19:00:00,19.26,30.85,10188.0
115,2015-03-05 20:00:00,19.35,30.83,10287.0
116,2015-03-05 21:00:00,18.27,30.82,10157.0
117,2015-03-05 22:00:00,17.43,30.8,9920.0
118,2015-03-05 23:00:00,15.55,30.78,9515.0
119,2015-03-05 00:00:00,13.25,30.76,9123.0
120,2015-03-06 01:00:00,13.3,30.74,8891.0
121,2015-03-06 02:00:00,13.99,30.72,8790.0
122,2015-03-06 03:00:00,14.0,30.71,8728.0
123,2015-03-06 04:00:00,14.0,30.71,8742.0
124,2015-03-06 05:00:00,14.04,30.71,8792.0
125,2015-03-06 06:00:00,30.68,30.73,8973.0
126,2015-03-06 07:00:00,32.45,30.75,9409.0
127,2015-03-06 08:00:00,30.61,30.76,9751.0
128,2015-03-06 09:00:00,28.34,30.76,9840.0
129,2015-03-06 10:00:00,24.1,30.74,9978.0
130,2015-03-06 11:00:00,22.88,30.74,10033.0
131,2015-03-06 12:00:00,17.0,30.73,10031.0
132,2015-03-06 13:00:00,17.0,30.72,10003.0
133,2015-03-06 14:00:00,14.98,30.7,9961.0
134,2015-03-06 15:00:00,13.8,30.68,9872.0
135,2015-03-06 16:00:00,15.03,30.66,9804.0
136,2015-03-06 17:00:00,13.8,30.65,9805.0
137,2015-03-06 18:00:00,13.62,30.64,9829.0
138,2015-03-06 19:00:00,16.2,30.63,10026.0
139,2015-03-06 20:00:00,18.74,30.63,10129.0
140,2015-03-06 21:00:00,18.68,30.62,10001.0
141,2015-03-06 22:00:00,20.84,30.62,9772.0
142,2015-03-06 23:00:00,21.42,30.64,9481.0
143,2015-03-06 00:00:00,22.23,30.65,9195.0
144,2015-03-07 01:00:00,13.12,30.66,8976.0
145,2015-03-07 02:00:00,12.72,30.66,8862.0
146,2015-03-07 03:00:00,12.33,30.66,8780.0
147,2015-03-07 04:00:00,11.36,30.66,8725.0
148,2015-03-07 05:00:00,11.76,30.66,8753.0
149,2015-03-07 06:00:00,12.96,30.64,8838.0
150,2015-03-07 07:00:00,12.98,30.63,8970.0
151,2015-03-07 08:00:00,13.2,30.6,9099.0
152,2015-03-07 09:00:00,15.52,30.57,9308.0
153,2015-03-07 10:00:00,17.02,30.56,9496.0
154,2015-03-07 11:00:00,20.3,30.55,9580.0
155,2015-03-07 12:00:00,20.27,30.53,9579.0
156,2015-03-07 13:00:00,21.85,30.52,9559.0
157,2015-03-07 14:00:00,21.93,30.5,9509.0
158,2015-03-07 15:00:00,22.77,30.5,9452.0
159,2015-03-07 16:00:00,21.54,30.49,9407.0
160,2015-03-07 17:00:00,22.58,30.47,9437.0
161,2015-03-07 18:00:00,22.58,30.45,9512.0
162,2015-03-07 19:00:00,23.64,30.44,9679.0
163,2015-03-07 20:00:00,24.04,30.44,9856.0
164,2015-03-07 21:00:00,20.7,30.42,9745.0
165,2015-03-07 22:00:00,17.14,30.39,9561.0
166,2015-03-07 23:00:00,14.12,30.35,9335.0
167,2015-03-07 00:00:00,13.01,30.32,9055.0
168,2015-03-08 01:00:00,12.81,30.29,8831.0
169,2015-03-08 03:00:00,12.96,30.26,8710.0
170,2015-03-08 04:00:00,12.5,30.23,8670.0
171,2015-03-08 05:00:00,12.97,30.2,8655.0
172,2015-03-08 06:00:00,13.09,30.18,8670.0
173,2015-03-08 07:00:00,13.56,30.16,8761.0
174,2015-03-08 08:00:00,16.33,30.14,8937.0
175,2015-03-08 09:00:00,16.44,30.11,8988.0
176,2015-03-08 10:00:00,19.21,30.08,9102.0
177,2015-03-08 11:00:00,18.14,30.05,9193.0
178,2015-03-08 12:00:00,17.9,30.03,9263.0
179,2015-03-08 13:00:00,17.42,30.0,9297.0
180,2015-03-08 14:00:00,16.81,29.99,9306.0
181,2015-03-08 15:00:00,14.61,29.98,9263.0
182,2015-03-08 16:00:00,13.23,29.96,9213.0
183,2015-03-08 17:00:00,13.19,29.95,9252.0
184,2015-03-08 18:00:00,15.83,29.94,9346.0
185,2015-03-08 19:00:00,17.18,29.93,9420.0
186,2015-03-08 20:00:00,15.83,29.92,9645.0
187,2015-03-08 21:00:00,16.22,29.91,9868.0
188,2015-03-08 22:00:00,13.86,29.89,9709.0
189,2015-03-08 23:00:00,11.48,29.87,9357.0
190,2015-03-08 00:00:00,11.27,29.86,8960.0
191,2015-03-09 01:00:00,11.51,29.84,8729.0
192,2015-03-09 02:00:00,11.64,29.83,8651.0
193,2015-03-09 03:00:00,12.48,29.83,8582.0
194,2015-03-09 04:00:00,12.24,29.83,8561.0
195,2015-03-09 05:00:00,11.41,29.82,8591.0
196,2015-03-09 06:00:00,10.55,29.81,8809.0
197,2015-03-09 07:00:00,13.66,29.8,9287.0
198,2015-03-09 08:00:00,18.12,29.79,9885.0
199,2015-03-09 09:00:00,22.33,29.79,9979.0
200,2015-03-09 10:00:00,17.01,29.78,9937.0
201,2015-03-09 11:00:00,15.6,29.76,9959.0
202,2015-03-09 12:00:00,16.33,29.74,10045.0
203,2015-03-09 13:00:00,17.4,29.72,10092.0
204,2015-03-09 14:00:00,16.61,29.7,10058.0
205,2015-03-09 15:00:00,15.34,29.68,10026.0
206,2015-03-09 16:00:00,15.83,29.66,9978.0
207,2015-03-09 17:00:00,14.72,29.65,9968.0
208,2015-03-09 18:00:00,12.8,29.64,9954.0
209,2015-03-09 19:00:00,14.55,29.63,9769.0
210,2015-03-09 20:00:00,21.19,29.63,9854.0
211,2015-03-09 21:00:00,22.77,29.63,10015.0
212,2015-03-09 22:00:00,19.79,29.63,9841.0
213,2015-03-09 23:00:00,15.5,29.61,9423.0
214,2015-03-09 00:00:00,11.96,29.58,9039.0
215,2015-03-10 01:00:00,11.1,29.56,8799.0
216,2015-03-10 02:00:00,10.57,29.53,8741.0
217,2015-03-10 03:00:00,11.41,29.52,8681.0
218,2015-03-10 04:00:00,12.97,29.51,8683.0
219,2015-03-10 05:00:00,11.32,29.51,8733.0
220,2015-03-10 06:00:00,11.05,29.51,8909.0
221,2015-03-10 07:00:00,15.09,29.49,9420.0
222,2015-03-10 08:00:00,19.2,29.48,10005.0
223,2015-03-10 09:00:00,19.76,29.46,10025.0
224,2015-03-10 10:00:00,17.72,29.45,10000.0
225,2015-03-10 11:00:00,21.93,29.43,10004.0
226,2015-03-10 12:00:00,24.48,29.41,10054.0
227,2015-03-10 13:00:00,24.97,29.39,10005.0
228,2015-03-10 14:00:00,23.79,29.37,9995.0
229,2015-03-10 15:00:00,21.91,29.36,9947.0
230,2015-03-10 16:00:00,21.02,29.36,9890.0
231,2015-03-10 17:00:00,20.07,29.35,9903.0
232,2015-03-10 18:00:00,13.45,29.34,9845.0
233,2015-03-10 19:00:00,12.48,29.31,9683.0
234,2015-03-10 20:00:00,16.35,29.28,9870.0
235,2015-03-10 21:00:00,18.9,29.25,10091.0
236,2015-03-10 22:00:00,21.59,29.22,9900.0
237,2015-03-10 23:00:00,16.34,29.18,9520.0
238,2015-03-10 00:00:00,14.83,29.13,9124.0
239,2015-03-11 01:00:00,18.96,29.1,8855.0
240,2015-03-11 02:00:00,14.55,29.07,8751.0
241,2015-03-11 03:00:00,19.73,29.04,8700.0
242,2015-03-11 04:00:00,21.37,29.02,8698.0
243,2015-03-11 05:00:00,21.84,29.0,8752.0
244,2015-03-11 06:00:00,23.82,28.98,8927.0
245,2015-03-11 07:00:00,24.36,28.95,9417.0
246,2015-03-11 08:00:00,27.88,28.91,10011.0
247,2015-03-11 09:00:00,28.79,28.83,10112.0
248,2015-03-11 10:00:00,25.95,28.65,10065.0
249,2015-03-11 11:00:00,22.97,28.54,10094.0
250,2015-03-11 12:00:00,20.28,28.46,10047.0
251,2015-03-11 13:00:00,16.16,28.35,9958.0
252,2015-03-11 14:00:00,12.55,28.25,9921.0
253,2015-03-11 15:00:00,12.39,28.19,9868.0
254,2015-03-11 16:00:00,13.2,28.15,9854.0
255,2015-03-11 17:00:00,14.33,28.1,9881.0
256,2015-03-11 18:00:00,13.12,28.05,9841.0
257,2015-03-11 19:00:00,14.71,28.0,9690.0
258,2015-03-11 20:00:00,17.27,27.95,9794.0
259,2015-03-11 21:00:00,20.13,27.93,10013.0
260,2015-03-11 22:00:00,18.78,27.91,9819.0
261,2015-03-11 23:00:00,15.86,27.89,9419.0
262,2015-03-11 00:00:00,18.03,27.89,9053.0
263,2015-03-12 01:00:00,17.03,27.88,8816.0
264,2015-03-12 02:00:00,17.0,27.88,8686.0
265,2015-03-12 03:00:00,13.74,27.87,8638.0
266,2015-03-12 04:00:00,13.66,27.86,8626.0
267,2015-03-12 05:00:00,13.66,27.86,8679.0
268,2015-03-12 06:00:00,17.34,27.86,8878.0
269,2015-03-12 07:00:00,21.65,27.86,9343.0
270,2015-03-12 08:00:00,21.15,27.84,9855.0
271,2015-03-12 09:00:00,18.07,27.72,9858.0
272,2015-03-12 10:00:00,18.95,27.65,9903.0
273,2015-03-12 11:00:00,18.77,27.58,9951.0
274,2015-03-12 12:00:00,18.18,27.5,9967.0
275,2015-03-12 13:00:00,17.02,27.46,9918.0
276,2015-03-12 14:00:00,17.01,27.43,9901.0
277,2015-03-12 15:00:00,17.01,27.41,9857.0
278,2015-03-12 16:00:00,18.78,27.38,9808.0
279,2015-03-12 17:00:00,20.26,27.36,9829.0
280,2015-03-12 18:00:00,20.21,26.86,9746.0
281,2015-03-12 19:00:00,20.28,25.72,9593.0
282,2015-03-12 20:00:00,20.87,24.57,9680.0
283,2015-03-12 21:00:00,20.97,23.49,9877.0
284,2015-03-12 22:00:00,19.81,23.29,9694.0
285,2015-03-12 23:00:00,14.73,23.25,9315.0
286,2015-03-12 00:00:00,11.48,23.23,8960.0
287,2015-03-13 01:00:00,10.5,23.21,8723.0
288,2015-03-13 02:00:00,9.21,23.18,8565.0
289,2015-03-13 03:00:00,8.94,23.16,8494.0
290,2015-03-13 04:00:00,8.94,23.14,8462.0
291,2015-03-13 05:00:00,10.17,23.13,8493.0
292,2015-03-13 06:00:00,14.5,23.12,8663.0
293,2015-03-13 07:00:00,26.38,23.12,9118.0
294,2015-03-13 08:00:00,22.75,23.09,9627.0
295,2015-03-13 09:00:00,22.31,22.98,9730.0
296,2015-03-13 10:00:00,25.25,22.87,9769.0
297,2015-03-13 11:00:00,28.14,22.77,9786.0
298,2015-03-13 12:00:00,33.36,22.68,9787.0
299,2015-03-13 13:00:00,36.48,22.67,9735.0
300,2015-03-13 14:00:00,34.75,22.67,9719.0
301,2015-03-13 15:00:00,24.26,22.66,9701.0
302,2015-03-13 16:00:00,20.6,22.65,9631.0
303,2015-03-13 17:00:00,20.56,22.64,9598.0
304,2015-03-13 18:00:00,18.01,22.62,9463.0
305,2015-03-13 19:00:00,14.34,22.6,9290.0
306,2015-03-13 20:00:00,12.67,22.57,9385.0
307,2015-03-13 21:00:00,16.97,22.55,9632.0
308,2015-03-13 22:00:00,17.32,22.55,9517.0
309,2015-03-13 23:00:00,14.04,22.54,9228.0
310,2015-03-13 00:00:00,18.72,22.54,8900.0
311,2015-03-14 01:00:00,20.0,22.54,8643.0
312,2015-03-14 02:00:00,19.52,22.55,8525.0
313,2015-03-14 03:00:00,13.57,22.55,8401.0
314,2015-03-14 04:00:00,11.39,22.54,8342.0
315,2015-03-14 05:00:00,10.45,22.54,8357.0
316,2015-03-14 06:00:00,10.71,22.54,8356.0
317,2015-03-14 07:00:00,11.2,22.54,8528.0
318,2015-03-14 08:00:00,11.55,22.52,8770.0
319,2015-03-14 09:00:00,11.09,22.51,8954.0
320,2015-03-14 10:00:00,12.07,22.49,9164.0
321,2015-03-14 11:00:00,14.02,22.46,9319.0
322,2015-03-14 12:00:00,15.05,22.43,9353.0
323,2015-03-14 13:00:00,12.26,22.4,9349.0
324,2015-03-14 14:00:00,12.05,22.39,9243.0
325,2015-03-14 15:00:00,12.04,22.37,9136.0
326,2015-03-14 16:00:00,12.04,22.36,9098.0
327,2015-03-14 17:00:00,11.79,22.34,9138.0
328,2015-03-14 18:00:00,11.65,22.32,9161.0
329,2015-03-14 19:00:00,10.46,22.29,9109.0
330,2015-03-14 20:00:00,11.46,22.27,9143.0
331,2015-03-14 21:00:00,11.62,22.25,9351.0
332,2015-03-14 22:00:00,10.58,22.24,9248.0
333,2015-03-14 23:00:00,10.43,22.22,9005.0
334,2015-03-14 00:00:00,11.41,22.22,8733.0
335,2015-03-15 01:00:00,9.26,22.21,8489.0
336,2015-03-15 02:00:00,8.94,22.21,8325.0
337,2015-03-15 03:00:00,8.94,22.2,8257.0
338,2015-03-15 04:00:00,8.94,22.19,8269.0
339,2015-03-15 05:00:00,8.92,22.19,8295.0
340,2015-03-15 06:00:00,8.92,22.18,8332.0
341,2015-03-15 07:00:00,11.08,22.18,8461.0
342,2015-03-15 08:00:00,12.6,22.16,8635.0
343,2015-03-15 09:00:00,13.51,22.15,8770.0
344,2015-03-15 10:00:00,20.85,22.15,8971.0
345,2015-03-15 11:00:00,22.03,22.15,9138.0
346,2015-03-15 12:00:00,22.82,22.15,9225.0
347,2015-03-15 13:00:00,23.07,22.14,9247.0
348,2015-03-15 14:00:00,23.1,22.14,9247.0
349,2015-03-15 15:00:00,23.13,22.13,9235.0
350,2015-03-15 16:00:00,23.1,22.13,9256.0
351,2015-03-15 17:00:00,22.89,22.13,9349.0
352,2015-03-15 18:00:00,22.5,22.13,9443.0
353,2015-03-15 19:00:00,22.4,22.14,9456.0
354,2015-03-15 20:00:00,22.1,22.13,9587.0
355,2015-03-15 21:00:00,21.77,22.13,9671.0
356,2015-03-15 22:00:00,20.96,22.14,9484.0
357,2015-03-15 23:00:00,19.18,22.13,9200.0
358,2015-03-15 00:00:00,19.46,22.12,8855.0
359,2015-03-16 01:00:00,19.68,22.12,8645.0
360,2015-03-16 02:00:00,19.96,22.12,8523.0
361,2015-03-16 03:00:00,19.97,22.14,8487.0
362,2015-03-16 04:00:00,19.97,22.15,8468.0
363,2015-03-16 05:00:00,20.14,22.16,8537.0
364,2015-03-16 06:00:00,23.09,22.18,8788.0
365,2015-03-16 07:00:00,33.83,22.21,9254.0
366,2015-03-16 08:00:00,38.02,22.25,9812.0
367,2015-03-16 09:00:00,33.58,22.28,9917.0
368,2015-03-16 10:00:00,29.97,22.3,9951.0
369,2015-03-16 11:00:00,29.81,22.32,9958.0
370,2015-03-16 12:00:00,29.64,22.34,9962.0
371,2015-03-16 13:00:00,27.5,22.34,9878.0
372,2015-03-16 14:00:00,23.01,22.34,9867.0
373,2015-03-16 15:00:00,23.01,22.34,9817.0
374,2015-03-16 16:00:00,23.0,22.35,9812.0
375,2015-03-16 17:00:00,22.38,22.36,9835.0
376,2015-03-16 18:00:00,21.86,22.36,9829.0
377,2015-03-16 19:00:00,21.51,22.36,9641.0
378,2015-03-16 20:00:00,21.5,22.36,9711.0
379,2015-03-16 21:00:00,22.22,22.35,10017.0
380,2015-03-16 22:00:00,26.86,22.35,9801.0
381,2015-03-16 23:00:00,24.38,22.35,9396.0
382,2015-03-16 00:00:00,22.24,22.35,8988.0
383,2015-03-17 01:00:00,18.06,22.35,8745.0
384,2015-03-17 02:00:00,13.3,22.35,8608.0
385,2015-03-17 03:00:00,12.67,22.35,8582.0
386,2015-03-17 04:00:00,12.95,22.35,8597.0
387,2015-03-17 05:00:00,14.84,22.36,8661.0
388,2015-03-17 06:00:00,18.89,22.37,8843.0
389,2015-03-17 07:00:00,19.33,22.38,9259.0
390,2015-03-17 08:00:00,21.5,22.4,9796.0
391,2015-03-17 09:00:00,21.74,22.41,9790.0
392,2015-03-17 10:00:00,21.4,22.41,9731.0
393,2015-03-17 11:00:00,21.1,22.41,9678.0
394,2015-03-17 12:00:00,20.15,22.4,9691.0
395,2015-03-17 13:00:00,20.39,22.39,9633.0
396,2015-03-17 14:00:00,20.39,22.39,9661.0
397,2015-03-17 15:00:00,20.12,22.38,9587.0
398,2015-03-17 16:00:00,20.12,22.38,9571.0
399,2015-03-17 17:00:00,20.46,22.38,9619.0
400,2015-03-17 18:00:00,20.13,22.38,9601.0
401,2015-03-17 19:00:00,20.14,22.39,9441.0
402,2015-03-17 20:00:00,20.3,22.39,9535.0
403,2015-03-17 21:00:00,21.16,22.39,9811.0
404,2015-03-17 22:00:00,20.97,22.39,9652.0
405,2015-03-17 23:00:00,19.67,22.39,9230.0
406,2015-03-17 00:00:00,19.36,22.4,8912.0
407,2015-03-18 01:00:00,19.35,22.41,8700.0
408,2015-03-18 02:00:00,19.63,22.42,8569.0
409,2015-03-18 03:00:00,19.41,22.43,8493.0
410,2015-03-18 04:00:00,19.42,22.44,8477.0
411,2015-03-18 05:00:00,19.43,22.46,8519.0
412,2015-03-18 06:00:00,20.56,22.47,8718.0
413,2015-03-18 07:00:00,21.95,22.48,9219.0
414,2015-03-18 08:00:00,36.46,22.52,9717.0
415,2015-03-18 09:00:00,39.92,22.55,9723.0
416,2015-03-18 10:00:00,39.95,22.58,9716.0
417,2015-03-18 11:00:00,25.57,22.59,9725.0
418,2015-03-18 12:00:00,21.47,22.59,9714.0
419,2015-03-18 13:00:00,21.13,22.59,9673.0
420,2015-03-18 14:00:00,20.14,22.58,9650.0
421,2015-03-18 15:00:00,20.14,22.58,9551.0
422,2015-03-18 16:00:00,19.48,22.58,9524.0
423,2015-03-18 17:00:00,19.43,22.58,9539.0
424,2015-03-18 18:00:00,19.08,22.58,9494.0
425,2015-03-18 19:00:00,14.17,22.56,9351.0
426,2015-03-18 20:00:00,15.27,22.54,9379.0
427,2015-03-18 21:00:00,20.17,22.53,9661.0
428,2015-03-18 22:00:00,21.21,22.52,9539.0
429,2015-03-18 23:00:00,19.86,22.51,9184.0
430,2015-03-18 00:00:00,16.56,22.5,8855.0
431,2015-03-19 01:00:00,12.36,22.5,8693.0
432,2015-03-19 02:00:00,12.01,22.49,8580.0
433,2015-03-19 03:00:00,10.51,22.48,8521.0
434,2015-03-19 04:00:00,10.65,22.48,8516.0
435,2015-03-19 05:00:00,12.37,22.47,8553.0
436,2015-03-19 06:00:00,18.25,22.47,8770.0
437,2015-03-19 07:00:00,19.66,22.48,9230.0
438,2015-03-19 08:00:00,20.24,22.48,9768.0
439,2015-03-19 09:00:00,20.92,22.47,9811.0
440,2015-03-19 10:00:00,21.16,22.46,9837.0
441,2015-03-19 11:00:00,21.48,22.45,9835.0
442,2015-03-19 12:00:00,21.5,22.43,9808.0
443,2015-03-19 13:00:00,20.72,22.42,9746.0
444,2015-03-19 14:00:00,20.81,22.41,9778.0
445,2015-03-19 15:00:00,21.35,22.4,9727.0
446,2015-03-19 16:00:00,21.14,22.39,9713.0
447,2015-03-19 17:00:00,21.0,22.39,9758.0
448,2015-03-19 18:00:00,20.41,22.38,9746.0
449,2015-03-19 19:00:00,19.9,22.38,9591.0
450,2015-03-19 20:00:00,19.97,22.37,9662.0
451,2015-03-19 21:00:00,20.24,22.36,9824.0
452,2015-03-19 22:00:00,20.13,22.34,9679.0
453,2015-03-19 23:00:00,16.53,22.33,9325.0
454,2015-03-19 00:00:00,12.98,22.31,8955.0
455,2015-03-20 01:00:00,12.14,22.3,8737.0
456,2015-03-20 02:00:00,16.83,22.31,8632.0
457,2015-03-20 03:00:00,12.53,22.3,8520.0
458,2015-03-20 04:00:00,12.47,22.3,8514.0
459,2015-03-20 05:00:00,16.76,22.31,8563.0
460,2015-03-20 06:00:00,19.24,22.32,8779.0
461,2015-03-20 07:00:00,20.85,22.33,9214.0
462,2015-03-20 08:00:00,24.0,22.33,9696.0
463,2015-03-20 09:00:00,21.48,22.33,9783.0
464,2015-03-20 10:00:00,22.46,22.33,9861.0
465,2015-03-20 11:00:00,26.94,22.34,9949.0
466,2015-03-20 12:00:00,32.43,22.35,9956.0
467,2015-03-20 13:00:00,31.02,22.36,9909.0
468,2015-03-20 14:00:00,31.54,22.37,9924.0
469,2015-03-20 15:00:00,45.04,22.4,9882.0
470,2015-03-20 16:00:00,39.9,22.43,9809.0
471,2015-03-20 17:00:00,40.64,22.46,9745.0
472,2015-03-20 18:00:00,26.89,22.46,9699.0
473,2015-03-20 19:00:00,21.52,22.47,9590.0
474,2015-03-20 20:00:00,21.18,22.46,9693.0
475,2015-03-20 21:00:00,25.62,22.47,9838.0
476,2015-03-20 22:00:00,34.14,22.49,9670.0
477,2015-03-20 23:00:00,33.4,22.51,9373.0
478,2015-03-20 00:00:00,27.84,22.53,9080.0
479,2015-03-21 01:00:00,23.5,22.55,8837.0
480,2015-03-21 02:00:00,21.7,22.58,8679.0
481,2015-03-21 03:00:00,21.58,22.6,8612.0
482,2015-03-21 04:00:00,20.96,22.62,8582.0
483,2015-03-21 05:00:00,21.88,22.65,8584.0
484,2015-03-21 06:00:00,21.58,22.68,8681.0
485,2015-03-21 07:00:00,21.73,22.7,8830.0
486,2015-03-21 08:00:00,21.75,22.71,9081.0
487,2015-03-21 09:00:00,23.08,22.72,9293.0
488,2015-03-21 10:00:00,27.95,22.73,9467.0
489,2015-03-21 11:00:00,28.06,22.73,9595.0
490,2015-03-21 12:00:00,30.25,22.75,9612.0
491,2015-03-21 13:00:00,40.45,22.78,9550.0
492,2015-03-21 14:00:00,34.44,22.8,9533.0
493,2015-03-21 15:00:00,24.51,22.8,9518.0
494,2015-03-21 16:00:00,23.25,22.81,9540.0
495,2015-03-21 17:00:00,23.25,22.81,9593.0
496,2015-03-21 18:00:00,23.25,22.82,9636.0
497,2015-03-21 19:00:00,21.89,22.82,9568.0
